"","school_id","region_Campania","region_Lombardia","private_government","private_independent","school_size","overcrowded_classes","ISCED_orient","pcs_per_student","internet_percentage","edu_leadership","curricular_development","istructional_leadership","professional_development","curricular_responsability","resources_responsability","school_authonomy","teacher_participation","material_shortage","staff_shortage","certified_teacher_prop","teacher_num","sci_teacher_prop","certified_sci_teacher_prop","creative_activities","science_resources","teacher_hindering_behav","student_hindering_behav","student_teacher_ratio","pv5math"
"1","1",0,0,0,0,1350,0,0,0.6417,1,-0.8613,-0.5455,-1.223,-0.4412,0.0554,-0.6941,0.58,6,-0.2374,0.1314,0.9766,107,0.3037,1,2,4,-0.3334,0.2229,12.6168,51.785036958606
"2","2",0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.8522149086461
"3","3",0,0,0,0,569,0,0,1.0732,1,-0.773,-1.4467,-0.7967,0.4295,1.4806,-0.782,0.58,5,-0.849,-0.9308,0.5753,73,0.1575,0.913,1,6,-0.666,-0.8695,7.7945,56.7230560971261
"4","4",1,0,0,0,285,0,0,0.5765,1,1.3224,0.8182,0.954,1.8133,-0.7997,-0.6941,0.5,3,0.5717,0.4942,0.9663,44.5,0.1573,1,1,3,0.8657,-0.8644,6.4045,46.8441097271745
"5","5",1,0,0,0,1128,0,0,0.3463,1,0.4314,7e-04,1.0434,0.0394,1.4806,-0.782,0.58,4,1.3608,0.9861,1,85,0.3471,1,3,3,-0.6684,0.1162,13.2706,50.7204398162072
"6","6",0,0,0,0,670,0,1,0.5755,0.4375,-0.2677,0.1512,0.0201,-0.7618,-0.2296,-0.6941,0.5,5,3.6096,1.6533,0.5271,101.5,0.4335,0.7273,0,4,0.8947,1.0924,6.601,43.7405097850702
"7","7",0,1,0,0,1320,0,0,0.2697,0.8611,-0.9726,-0.8669,-1.1211,-0.4247,0.0554,-0.7644,0.67,4,-0.3301,0.6428,0.8804,92,0.2065,1,1,5,0.0185,0.8718,14.3478,56.2713560210213
"8","8",0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.2927467790487
"9","9",0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.4904649698521
"10","10",0,0,0,0,2092,0,1,0.3037,1,0.4845,-0.3971,0.5864,0.2099,1.4806,-0.782,0.58,4,1.3336,1.2582,0.7842,208.5,0.259,0.8519,3,3,1.5144,1.7822,10.0336,42.4086576380955
"11","11",0,0,0,0,309,0,0,0.2017,1,0.7658,0.8744,0.5626,0.9596,1.4806,-0.6941,0.58,4,-1.2541,0.7026,0.873,31.5,0.1587,0.9,1,3,-0.5703,1.3044,9.8095,42.0926092659998
"12","12",1,0,0,0,1109,0,1,0.7009,1,0.1565,-0.3971,0.178,0.7618,-0.7997,-0.7946,0.5,3,-0.1328,-0.3545,NA,NA,NA,NA,1,4,0.0185,0.6966,NA,36.8790821365674
"13","13",0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1366987774523
"14","14",0,0,0,0,797,0,1,0.5202,0.6111,NA,NA,NA,NA,-0.7997,-0.3422,0,0,NA,NA,0.814,86,0.1279,1,NA,NA,NA,NA,9.2674,52.6967403909452
"15","15",0,0,0,0,480,0,0,1.1429,1,-0.229,7e-04,-0.1449,-0.4247,1.4806,-0.6941,0.58,7,-0.1328,0.2838,0.885,56.5,0.2035,0.6087,3,5,-0.348,0.2229,8.4956,58.2418356929716
"16","16",0,1,0,1,635,0,0,0.3876,1,-0.1545,-0.8669,0.1103,0.3642,1.4806,2.8245,1,6,-0.164,-1.6823,0.8302,53,0.3679,0.4615,1,6,-1.1571,-0.4789,11.9811,57.8910880551738
"17","17",0,1,0,0,1630,0,1,0.2339,1,0.2698,-0.2724,0.809,0.3642,0.9105,-0.6941,0.58,4,-0.9916,0.9008,0.8166,174.5,0.0688,1,0,7,1.139,0.8718,9.341,49.540212739828
"18","18",0,1,0,0,803,1,0,0.2308,1,-0.9981,-0.8669,-1.1211,-0.7451,1.4806,-0.6941,0.58,6,1.1587,-1.6823,0.9496,59.5,0.2437,1,0,6,-0.7223,0.1816,13.4958,52.7774564504212
"19","19",0,0,0,0,1052,0,0,0.5885,1,0.4265,-0.1461,0.0124,1.1284,1.4806,-0.6941,0.58,6,1.2485,1.5393,0.9349,84.5,0.1479,1,3,6,0.8947,1.7918,12.4497,48.0136818899909
