"","school_id","student_id","ISCED_level","ISCED_orient","private_public_school","dimension_city","gender","index_immigration_status","mother_education","father_education","highest_education_parents","home_possessions","cultural_possessions","home_edu_resources","escs","video_games","sport_after_school","read_books","internet_social","meet_friends","study_before_school","study_after_school","out_of_school_study_time_per_week","learning_time_math","learning_time_lang","learning_time_science","learning_time_total","disciplinari_climate","subjective_well_being","enjoy_science","interest_broad_science","intrum_motiv_science","motivat","parent_emotional_support","test_anxiety","pv5math","pv5read","pv5scie"
"1","38000001","38001373","Secondary_2nd","General","Public",4,"Female","Native","L4","L4","L4",37866,0.6093,1.1563,-0.3447,"Yes, and I use it","Yes","No","Yes","Yes","Yes","Yes",11,150,200,21,204,-1.5571,1.0269,-0.8208,0.5987,-0.264,0.5952,-1.8389,0.1359,498.98,443.169,486.802
"2","38000001","38016880","Secondary_2nd","General","Public",4,"Female","Native","L4","L6","L6",39059,0.2293,-0.7026,0.6827,"Yes, but I don't use it","No","No","Yes","Yes","No","Yes",20,165,220,23,231,-0.5436,-0.6857,-0.5781,-0.2052,0.3708,-0.2671,-0.4195,1.8135,563.478,501.688,514.835
"3","38000001","38018781","Secondary_2nd","General","Public",4,"Female","Native","L6","L6","L6",45689,2.1655,1.1563,1.3603,"Yes, but I don't use it","Yes","Yes","Yes","Yes","No","Yes",20,165,220,23,237,-0.7439,-0.604,-0.4205,-0.4066,-1.9301,-0.7662,0.7454,0.7186,590.441,585.081,604.763
"4","38000001","38012431","Secondary_2nd","General","Public",4,"Female","Native","L4","L6","L6",39029,2.1655,1.1563,0.103,"Yes, and I use it","Yes","Yes","Yes","No","No","Yes",24,165,220,23,237,0.0039,1.0269,0.5094,0.9248,-0.3035,0.1111,0.7454,0.7721,459.616,514.993,473.338
"5","38000001","38011047","Secondary_2nd","General","Public",4,"Female","Native","L6","L3","L6",34710,0.6093,1.1563,-0.0763,"No","No","Yes","Yes","Yes","Yes","Yes",3,180,240,25,256,-0.5436,-0.3381,-0.119,0.1976,-0.3035,-0.7662,0.7454,0.206,521.015,596.942,530.959
"6","38000001","38012323","Secondary_2nd","General","Public",4,"Female","Native","L6","L6","L6",47158,1.0478,-0.1108,1.5589,"Yes, but I don't use it","Yes","Yes","Yes","Yes","Yes","Yes",22,165,220,23,237,-0.5154,-0.8234,0.5094,0.642,0.3708,-0.8771,0.7454,1.3418,458.42,495.926,463.71
"7","38000001","38004622","Secondary_2nd","General","Public",4,"Female","Native","L6","L6","L6",40431,0.1376,-0.5343,1.2704,"Yes, but I don't use it","Yes","Yes","No","Yes","Yes","Yes",42,180,240,25,241,0.8351,-0.2015,1.0938,0.6026,-0.2874,-1.358,0.7454,0.5769,431.031,513.225,446.481
"8","38000001","38014223","Secondary_2nd","General","Public",4,"Female","Native","L4","L3","L4",48170,2.1655,1.1563,0.8193,"Yes, but I don't use it","No","No","Yes","No","No","Yes",12,165,220,23,223,0.8351,1.0269,2.1635,1.1786,1.356,-1.4987,0.7454,0.8425,460.004,569.888,564.461
"9","38000001","38013200","Secondary_2nd","General","Public",4,"Female","Native","L6","L4","L6",35055,0.2162,-0.1108,1.1142,"No","No","No","No","No","Yes","Yes",8,165,220,23,223,NA,-0.4725,-0.1379,-0.1178,1.7359,1.8543,0.7454,0.219,559.555,539.52,534.271
"10","38000001","38007869","Secondary_2nd","General","Public",4,"Female","Native","L6","L6","L6",50241,2.1655,1.1563,1.5692,"No","No","Yes","No","Yes","No","Yes",39,180,240,25,241,1.3818,0.0248,-0.1808,0.8456,-0.5375,0.8598,0.7454,-0.8455,539.733,576.429,579.874
