"","gender","index_immigration_status","home_possessions","cultural_possessions","home_edu_resources","escs","video_games","sport_after_school","read_books","internet_social","meet_friends","study_before_school","study_after_school","learning_time_math","learning_time_lang","learning_time_science","disciplinari_climate","subjective_well_being","enjoy_science","interest_broad_science","intrum_motiv_science","motivat","test_anxiety","education_parents_medium","education_parents_high","pv5math"
"1",0,1,37866,0.6093,1.1563,-0.3447,1,1,0,1,1,1,1,2.5,3.33333333333333,0.35,-1.5571,1.0269,-0.8208,0.5987,-0.264,0.5952,0.1359,1,0,498.98
"2",0,1,39059,0.2293,-0.7026,0.6827,0,0,0,1,1,0,1,2.75,3.66666666666667,0.383333333333333,-0.5436,-0.6857,-0.5781,-0.2052,0.3708,-0.2671,1.8135,0,1,563.478
"3",0,1,45689,2.1655,1.1563,1.3603,0,1,1,1,1,0,1,2.75,3.66666666666667,0.383333333333333,-0.7439,-0.604,-0.4205,-0.4066,-1.9301,-0.7662,0.7186,0,1,590.441
"4",0,1,39029,2.1655,1.1563,0.103,1,1,1,1,0,0,1,2.75,3.66666666666667,0.383333333333333,0.0039,1.0269,0.5094,0.9248,-0.3035,0.1111,0.7721,0,1,459.616
"5",0,1,34710,0.6093,1.1563,-0.0763,0,0,1,1,1,1,1,3,4,0.416666666666667,-0.5436,-0.3381,-0.119,0.1976,-0.3035,-0.7662,0.206,0,1,521.015
"6",0,1,47158,1.0478,-0.1108,1.5589,0,1,1,1,1,1,1,2.75,3.66666666666667,0.383333333333333,-0.5154,-0.8234,0.5094,0.642,0.3708,-0.8771,1.3418,0,1,458.42
"7",0,1,40431,0.1376,-0.5343,1.2704,0,1,1,0,1,1,1,3,4,0.416666666666667,0.8351,-0.2015,1.0938,0.6026,-0.2874,-1.358,0.5769,0,1,431.031
"8",0,1,48170,2.1655,1.1563,0.8193,0,0,0,1,0,0,1,2.75,3.66666666666667,0.383333333333333,0.8351,1.0269,2.1635,1.1786,1.356,-1.4987,0.8425,1,0,460.004
"10",0,1,50241,2.1655,1.1563,1.5692,0,0,1,0,1,0,1,3,4,0.416666666666667,1.3818,0.0248,-0.1808,0.8456,-0.5375,0.8598,-0.8455,0,1,539.733
"11",0,1,47112,2.1655,1.1563,0.0385,0,0,1,1,1,0,1,2.75,3.66666666666667,0.383333333333333,0.5529,0.5423,2.1635,0.0177,-0.494,-0.5892,1.0461,1,0,509.752
"12",1,1,41473,0.7777,1.1563,-0.3774,0,1,1,1,1,1,1,2.5,3.33333333333333,0.35,-0.479,2.5915,-0.395,0.913,-1.5577,-0.7662,0.2495,1,0,575.15
"13",1,0,23047,-1.2278,-1.3111,-0.5463,1,1,0,1,1,0,1,3,4,0.416666666666667,-1.1223,-0.6837,-1.1478,-0.0258,-0.494,-1.1822,0.2626,0,1,393.893
"15",1,1,33206,-0.2598,-0.1108,0.0544,1,0,0,0,0,1,1,2.75,3.66666666666667,0.383333333333333,0.8351,0.1258,0.5094,-0.1239,0.8155,-0.3263,0.2594,0,1,479.084
"16",1,1,45483,1.0478,1.1563,1.4974,1,1,0,1,1,1,1,2.75,3.66666666666667,0.383333333333333,-0.5803,0.7934,-1.2347,-0.4403,-0.8367,-0.8234,-0.0345,0,1,556.171
"17",1,1,39171,0.3005,1.1563,0.3769,1,0,1,1,1,1,1,3,4,0.416666666666667,1.8837,-0.1144,0.4477,0.7048,0.3708,-1.6781,-0.1679,0,1,493.696
"18",1,1,47799,2.1655,1.1563,1.5413,1,1,1,1,1,1,1,2.75,3.66666666666667,0.383333333333333,0.5529,0.1643,-0.8208,-2.4981,-0.5375,-0.0852,0.0752,0,1,530.247
"19",0,1,42927,0.7777,0.0321,1.1968,0,1,0,1,1,0,1,1.83333333333333,3.66666666666667,0.383333333333333,-0.4436,1.5043,-0.8208,-0.7742,-1.1173,0.8101,0.3964,0,1,602.181
"20",1,1,42399,1.0478,1.1563,1.2394,1,0,1,1,1,1,1,2.75,3.66666666666667,0.383333333333333,0.0039,-0.4725,-0.6148,0.1911,-0.5375,-0.8771,1.1311,0,1,578.731
"21",0,1,42217,1.0478,1.1563,1.1294,1,1,1,1,1,1,1,2.75,3.66666666666667,0.383333333333333,-0.4234,0.0248,-0.8208,-0.0034,-0.2874,-0.8771,0.7721,0,1,445.402
"22",0,1,40778,0.3744,1.1563,0.5063,0,1,1,1,1,0,1,2.75,3.66666666666667,0.383333333333333,-0.768,0.3171,0.5094,0.3664,-0.0948,-0.7662,0.5175,1,0,508.863
