"","student_id","school_id","region","school_size","internet_percentage","certified_teacher_prop","sci_teacher_prop","student_hindering_behav","student_teacher_ratio","ISCED_orient","private_government","private_independent","overcrowded_classes","home_possessions","cultural_possessions","escs","disciplinari_climate","learning_time_math","learning_time_lang","learning_time_science","enjoy_science","interest_broad_science","motivat","test_anxiety","gender","education_parents_medium","education_parents_high","video_games","immigration_status","internet_social","study_before_school","study_after_school","home_edu_resources","sport_after_school","read_books","meet_friends","out_of_school_study_time_per_week","subjective_well_being","intrum_motiv_science","parent_emotional_support","pv5math","pv5read","pv5scie"
"1",38000004,38000221,"TrentinoAA",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,-0.9969,0.6716,-0.7439,3.33333333333333,4.16666666666667,0.35,-1.6408,-0.5747,0.1218,-0.6871,1,0,1,0,1,1,1,1,-0.1108,"Yes","No","Yes",35,0.4597,-0.7778,0.7454,630.901,549.137,519.584
"2",38000005,38000387,"0",684,0.9265,1,0.0663,1.0383,8.241,1,0,0,0,NA,-0.1892,0.7786,-1.0005,4,4,0.716666666666667,-0.3793,0.015,-0.4849,0.3366,0,0,1,1,1,1,0,1,-1.6471,"Yes","No","Yes",16,0.3171,-0.2874,NA,447.013,437.953,456.971
"3",38000006,38000444,"TrentinoAA",945,1,0.4769,0.5231,0.4927,29.0769,1,1,0,0,NA,-1.2278,-1.1078,0.0039,2.5,3.33333333333333,0.75,0.5094,-0.1026,-0.4849,-0.308,1,0,0,1,1,1,0,1,-0.7218,"Yes","No","Yes",38,-0.4838,0.3708,NA,553.162,550.623,567.305
"4",38000007,38000487,"TrentinoAA",1122,1,0.8762,0.3119,0.7561,11.1089,0,0,0,0,NA,0.6062,1.1832,-0.9275,3.33333333333333,4.16666666666667,0.633333333333333,2.1635,1.7755,-0.0468,-0.7398,1,0,1,1,1,0,1,1,0.0659,"Yes","No","No",12,1.4823,1.0218,-0.5155,609.099,597.856,591.392
"5",38000012,38000069,"0",1303,1,0.9751,0.3085,1.2496,12.9652,0,0,0,0,NA,-0.4113,0.7991,-2.4162,4.58333333333333,4.58333333333333,0.533333333333333,2.1635,0.5195,-2.0766,0.1837,1,0,1,0,1,1,1,1,-1.0509,"No","No","No",9,-1.0438,0.3708,0.7454,603.125,596.268,619.353
"6",38000014,38000054,"TrentinoAA",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1.0478,-0.3703,0.6558,2.75,2.75,0.533333333333333,0.5094,0.5305,-0.7662,-0.0836,1,1,0,NA,1,1,1,1,0.0659,"Yes","No","Yes",42,-0.1144,0.3708,-0.9094,397.133,369.381,287.026
"7",38000017,38000128,"0",NA,NA,NA,NA,1.1957,NA,1,0,0,0,NA,-1.2278,-1.2724,-1.9061,3.66666666666667,6.41666666666667,0.383333333333333,-0.3928,-2.4981,1.3961,0.2092,1,1,0,NA,1,1,0,0,-1.0496,"Yes","No","Yes",32,-0.7768,-0.9128,-1.8389,457.549,451.822,408.066
"8",38000018,38000417,"0",113,1,0.6545,0.5455,0.8718,4.1091,1,0,0,0,NA,0.0433,-0.5173,0.0039,3.33333333333333,3.33333333333333,0.866666666666667,1.0323,0.0519,-1.0795,0.9908,0,1,0,1,0,1,0,1,-0.1108,"Yes","Yes","Yes",3,-0.0621,-1.4463,NA,644.084,530.41,552.885
"9",38000019,38000343,"Lombardia",375,0.1667,0.9024,0.1585,0.6925,9.1463,0,0,0,0,NA,0.0045,1.162,-0.5407,4.58333333333333,3.66666666666667,0.666666666666667,1.1074,1.1029,-0.3396,-0.3301,1,0,1,1,1,1,0,1,1.1563,"No","No","Yes",10,0.6642,1.0728,-0.4195,644.639,584.864,607.33
"10",38000020,38000125,"0",997,1,0.7412,0.0921,-0.3599,8.7456,1,0,0,0,NA,-0.4945,0.3696,0.2355,5,6,1.35,-0.8208,0.5645,-1.5446,0.7882,1,0,1,1,1,1,1,1,0.1927,"Yes","Yes","Yes",NA,-0.8715,-0.4237,-0.5155,433.12,389.273,381.084
