"","student_id","school_id","pv5math","home_possessions","cultural_possessions","escs","disciplinari_climate","learning_time_math","learning_time_lang","learning_time_science","enjoy_science","interest_broad_science","motivat","test_anxiety","gender","education_parents_medium","education_parents_high","video_games","immigration_status","internet_social","study_before_school","study_after_school","private_independent","school_size","ISCED_orient","certified_teacher_prop","sci_teacher_prop","student_hindering_behav","student_teacher_ratio"
"1",38001373,1,498.98,0.00605781834455314,0.6093,-0.3447,-1.5571,2.5,3.33333333333333,0.35,-0.8208,0.5987,0.5952,0.1359,0,1,0,1,1,1,1,1,0,1350,0,0.9766,0.3037,0.2229,12.6168
"2",38016880,1,563.478,0.173536623946436,0.2293,0.6827,-0.5436,2.75,3.66666666666667,0.383333333333333,-0.5781,-0.2052,-0.2671,1.8135,0,0,1,0,1,1,0,1,0,1350,0,0.9766,0.3037,0.2229,12.6168
"3",38018781,1,590.441,1.10428639858221,2.1655,1.3603,-0.7439,2.75,3.66666666666667,0.383333333333333,-0.4205,-0.4066,-0.7662,0.7186,0,0,1,0,1,1,0,1,0,1350,0,0.9766,0.3037,0.2229,12.6168
"4",38012431,1,459.616,0.169325086504645,2.1655,0.103,0.0039,2.75,3.66666666666667,0.383333333333333,0.5094,0.9248,0.1111,0.7721,0,0,1,1,1,1,0,1,0,1350,0,0.9766,0.3037,0.2229,12.6168
"5",38011047,1,521.015,-0.436995920531844,0.6093,-0.0763,-0.5436,3,4,0.416666666666667,-0.119,0.1976,-0.7662,0.206,0,0,1,0,1,1,1,1,0,1350,0,0.9766,0.3037,0.2229,12.6168
"6",38012323,1,458.42,1.31051134864857,1.0478,1.5589,-0.5154,2.75,3.66666666666667,0.383333333333333,0.5094,0.642,-0.8771,1.3418,0,0,1,0,1,1,1,1,0,1350,0,0.9766,0.3037,0.2229,12.6168
"7",38004622,1,431.031,0.366144269617671,0.1376,1.2704,0.8351,3,4,0.416666666666667,1.0938,0.6026,-1.358,0.5769,0,0,1,0,1,0,1,1,0,1350,0,0.9766,0.3037,0.2229,12.6168
"8",38014223,1,460.004,1.45258054501832,2.1655,0.8193,0.8351,2.75,3.66666666666667,0.383333333333333,2.1635,1.1786,-1.4987,0.8425,0,1,0,0,1,1,0,1,0,1350,0,0.9766,0.3037,0.2229,12.6168
"10",38007869,1,539.733,1.74331701308328,2.1655,1.5692,1.3818,3,4,0.416666666666667,-0.1808,0.8456,0.8598,-0.8455,0,0,1,0,1,0,0,1,0,1350,0,0.9766,0.3037,0.2229,12.6168
"11",38019967,1,509.752,1.30405365790449,2.1655,0.0385,0.5529,2.75,3.66666666666667,0.383333333333333,2.1635,0.0177,-0.5892,1.0461,0,1,0,0,1,1,0,1,0,1350,0,0.9766,0.3037,0.2229,12.6168
"12",38013808,1,575.15,0.512425003429206,0.7777,-0.3774,-0.479,2.5,3.33333333333333,0.35,-0.395,0.913,-0.7662,0.2495,1,1,0,0,1,1,1,1,0,1350,0,0.9766,0.3037,0.2229,12.6168
"13",38020016,1,393.893,-2.07430129331873,-1.2278,-0.5463,-1.1223,3,4,0.416666666666667,-1.1478,-0.0258,-1.1822,0.2626,1,0,1,1,0,1,0,1,0,1350,0,0.9766,0.3037,0.2229,12.6168
"15",38004323,1,479.084,-0.648134330946959,-0.2598,0.0544,0.8351,2.75,3.66666666666667,0.383333333333333,0.5094,-0.1239,-0.3263,0.2594,1,0,1,1,1,0,1,1,0,1350,0,0.9766,0.3037,0.2229,12.6168
"16",38000228,1,556.171,1.07536717481525,1.0478,1.4974,-0.5803,2.75,3.66666666666667,0.383333333333333,-1.2347,-0.4403,-0.8234,-0.0345,1,0,1,1,1,1,1,1,0,1350,0,0.9766,0.3037,0.2229,12.6168
"17",38003836,1,493.696,0.189259697062455,0.3005,0.3769,1.8837,3,4,0.416666666666667,0.4477,0.7048,-1.6781,-0.1679,1,0,1,1,1,1,1,1,0,1350,0,0.9766,0.3037,0.2229,12.6168
"18",38005317,1,530.247,1.4004978653215,2.1655,1.5413,0.5529,2.75,3.66666666666667,0.383333333333333,-0.8208,-2.4981,-0.0852,0.0752,1,0,1,1,1,1,1,1,0,1350,0,0.9766,0.3037,0.2229,12.6168
"19",38003086,1,602.181,0.716544184774669,0.7777,1.1968,-0.4436,1.83333333333333,3.66666666666667,0.383333333333333,-0.8208,-0.7742,0.8101,0.3964,0,0,1,0,1,1,0,1,0,1350,0,0.9766,0.3037,0.2229,12.6168
"20",38009280,1,578.731,0.64242112579915,1.0478,1.2394,0.0039,2.75,3.66666666666667,0.383333333333333,-0.6148,0.1911,-0.8771,1.1311,1,0,1,1,1,1,1,1,0,1350,0,0.9766,0.3037,0.2229,12.6168
"21",38011444,1,445.402,0.616871131985619,1.0478,1.1294,-0.4234,2.75,3.66666666666667,0.383333333333333,-0.8208,-0.0034,-0.8771,0.7721,0,0,1,1,1,1,1,1,0,1350,0,0.9766,0.3037,0.2229,12.6168
"22",38009140,1,508.863,0.414857719361051,0.3744,0.5063,-0.768,2.75,3.66666666666667,0.383333333333333,0.5094,0.3664,-0.7662,0.5175,0,1,0,0,1,1,0,1,0,1350,0,0.9766,0.3037,0.2229,12.6168
"27",38018709,1,620.409,1.18641137869713,0.7777,0.4177,1.8837,3,4,0.416666666666667,2.1635,0.6584,0.959,1.0016,1,0,1,1,1,1,0,1,0,1350,0,0.9766,0.3037,0.2229,12.6168
"28",38000522,1,577.433,1.26629020550977,2.1655,1.506,-0.6051,5,1,0.2,0.5094,0.8104,-0.2803,0.6725,1,0,1,1,1,1,1,1,0,1350,0,0.9766,0.3037,0.2229,12.6168
"50",38008535,2,354.965,-0.834705439618293,-0.522,0.0552,0.5529,5,4,0.416666666666667,-0.2121,-0.475,-1.4049,0.9715,0,1,0,1,1,1,1,1,0,569,0,0.5753,0.1575,-0.8695,7.7945
"51",38002533,2,490.58,-1.88253595513586,-0.4343,-0.9816,-1.0246,4.16666666666667,4.16666666666667,0.5,0.5094,0.0159,-0.4495,0.4517,1,1,0,1,1,1,0,1,0,569,0,0.5753,0.1575,-0.8695,7.7945
"53",38016050,2,570.78,-0.250705581023296,0.7777,-0.7012,-0.2683,4.58333333333333,3.66666666666667,0.383333333333333,1.6403,0.438,0.4631,1.8135,0,1,0,0,1,0,0,1,0,569,0,0.5753,0.1575,-0.8695,7.7945
"54",38018269,2,640.023,0.0292212742744028,2.1655,-0.5246,0.8934,4.58333333333333,3.66666666666667,0.383333333333333,0.5094,0.6098,-0.5086,-0.2729,0,1,0,1,1,1,1,1,0,569,0,0.5753,0.1575,-0.8695,7.7945
"55",38003413,2,544.418,0.141388554807432,-0.0652,0.3107,-0.5436,4.58333333333333,3.66666666666667,0.383333333333333,0.5094,-0.2805,-0.8313,0.3997,0,1,0,0,1,1,0,1,0,569,0,0.5753,0.1575,-0.8695,7.7945
"56",38005399,2,575.152,2.36171109411957,1.0478,1.7393,-0.6079,4.16666666666667,3.33333333333333,0.35,-0.1833,-0.2052,0.4094,2.5493,0,0,1,1,1,1,1,1,0,569,0,0.5753,0.1575,-0.8695,7.7945
"57",38003734,2,729.008,0.279386598316779,1.0478,0.3468,0.0039,3.66666666666667,3.66666666666667,0.383333333333333,1.3705,1.5043,1.0385,-0.4071,0,1,0,1,1,1,0,1,0,569,0,0.5753,0.1575,-0.8695,7.7945
"58",38006527,2,522.502,-0.295488262487672,0.1508,1.0765,1.8837,4,4,0.416666666666667,-2.1154,0.5305,0.2937,2.5493,0,0,1,0,1,0,0,1,0,569,0,0.5753,0.1575,-0.8695,7.7945
"59",38001441,2,529.352,-0.372278628509658,0.0768,0.9118,-0.92,4.58333333333333,5.5,0.533333333333333,1.6903,-0.5836,-0.2776,-0.242,0,0,1,0,1,1,1,1,0,569,0,0.5753,0.1575,-0.8695,7.7945
"60",38001752,2,551.149,1.33128826669474,0.7777,1.5231,0.6605,5.5,3.66666666666667,0.383333333333333,0.5094,0.3043,-0.7662,-0.4671,1,0,1,1,1,1,1,1,0,569,0,0.5753,0.1575,-0.8695,7.7945
"61",38013731,2,668.84,-0.915005420175105,0.1919,-0.1932,0.5529,4.58333333333333,3.66666666666667,0.383333333333333,1.1662,-0.0034,0.1111,-0.4671,1,1,0,0,1,1,1,1,0,569,0,0.5753,0.1575,-0.8695,7.7945
"62",38018279,2,604.999,-0.0794363917238011,0.2162,0.8851,0.8934,5,4,0.416666666666667,2.1635,1.0195,0.2168,-1.0789,1,0,1,0,1,0,1,1,0,569,0,0.5753,0.1575,-0.8695,7.7945
"63",38018087,2,543.025,-0.934097723244557,-0.3331,-1.4896,0.2884,4.58333333333333,3.66666666666667,0.383333333333333,-0.8208,-0.3744,-0.4495,0.206,1,0,0,1,1,0,1,1,0,569,0,0.5753,0.1575,-0.8695,7.7945
"64",38014169,2,674.696,1.12815177741903,1.0478,0.383,1.1387,1.83333333333333,2.75,0.383333333333333,0.5094,0.6496,-0.1163,-0.0374,1,1,0,1,1,1,0,1,0,569,0,0.5753,0.1575,-0.8695,7.7945
"66",38005771,2,593.825,1.13039793072132,0.7777,1.0572,0.8934,4.58333333333333,3.66666666666667,0.383333333333333,0.5094,0.5305,-0.4849,-0.3455,1,0,1,1,1,1,1,1,0,569,0,0.5753,0.1575,-0.8695,7.7945
"68",38017499,3,527.245,-0.484445909042688,0.2162,0.6345,0.0039,5,3,0.866666666666667,0.5094,0.5305,1.0385,2.5493,0,0,1,1,1,1,0,1,0,1128,0,1,0.3471,0.1162,13.2706
"69",38016041,3,530.356,3.16288590012958,2.1655,2.2591,0.0039,6,5,0.416666666666667,2.1635,0.6584,0.5952,-0.308,0,0,1,1,1,1,1,1,0,1128,0,1,0.3471,0.1162,13.2706
"70",38012951,3,527.729,1.94589196403342,1.0478,0.7157,1.3818,4.58333333333333,6.41666666666667,0.383333333333333,-0.9164,1.2758,-0.1756,2.5493,0,0,1,0,1,1,0,1,0,1128,0,1,0.3471,0.1162,13.2706
"71",38011892,3,526.476,-0.647432408039993,-0.4504,0.6538,0.5529,5,4,0.416666666666667,0.5094,0.9248,-0.4495,0.5209,0,0,1,0,1,1,0,1,0,1128,0,1,0.3471,0.1162,13.2706
"72",38005600,3,577.067,-1.14186690370624,-0.1892,-1.0274,-0.1502,4,4,0.716666666666667,0.5094,0.2913,0.6381,0.7186,0,0,0,0,1,1,1,1,0,1128,0,1,0.3471,0.1162,13.2706
"73",38002513,3,423.255,0.463290399941646,2.1655,-1.2477,0.2884,4,4,0.716666666666667,1.1662,0.5305,0.8598,0.5175,1,0,0,0,1,1,0,1,0,1128,0,1,0.3471,0.1162,13.2706
