"","student_id","school_id","pv5math","private_government","private_independent","school_size","ISCED_orient","certified_teacher_prop","sci_teacher_prop","student_hindering_behav","student_teacher_ratio","escs","learning_time_math","gender","education_parents_medium","education_parents_high","immigration_status","study_after_school"
"1",38001373,1,498.98,0,0,1350,0,0.9766,0.3037,0.2229,12.6168,-0.3447,2.5,0,1,0,1,1
"2",38016880,1,563.478,0,0,1350,0,0.9766,0.3037,0.2229,12.6168,0.6827,2.75,0,0,1,1,1
"3",38018781,1,590.441,0,0,1350,0,0.9766,0.3037,0.2229,12.6168,1.3603,2.75,0,0,1,1,1
"4",38012431,1,459.616,0,0,1350,0,0.9766,0.3037,0.2229,12.6168,0.103,2.75,0,0,1,1,1
"5",38011047,1,521.015,0,0,1350,0,0.9766,0.3037,0.2229,12.6168,-0.0763,3,0,0,1,1,1
"6",38012323,1,458.42,0,0,1350,0,0.9766,0.3037,0.2229,12.6168,1.5589,2.75,0,0,1,1,1
"7",38004622,1,431.031,0,0,1350,0,0.9766,0.3037,0.2229,12.6168,1.2704,3,0,0,1,1,1
"8",38014223,1,460.004,0,0,1350,0,0.9766,0.3037,0.2229,12.6168,0.8193,2.75,0,1,0,1,1
"9",38013200,1,559.555,0,0,1350,0,0.9766,0.3037,0.2229,12.6168,1.1142,2.75,0,0,1,1,1
"10",38007869,1,539.733,0,0,1350,0,0.9766,0.3037,0.2229,12.6168,1.5692,3,0,0,1,1,1
"11",38019967,1,509.752,0,0,1350,0,0.9766,0.3037,0.2229,12.6168,0.0385,2.75,0,1,0,1,1
"12",38013808,1,575.15,0,0,1350,0,0.9766,0.3037,0.2229,12.6168,-0.3774,2.5,1,1,0,1,1
"13",38020016,1,393.893,0,0,1350,0,0.9766,0.3037,0.2229,12.6168,-0.5463,3,1,0,1,0,1
"14",38018231,1,478.944,0,0,1350,0,0.9766,0.3037,0.2229,12.6168,-0.3429,2.75,1,1,0,1,0
"15",38004323,1,479.084,0,0,1350,0,0.9766,0.3037,0.2229,12.6168,0.0544,2.75,1,0,1,1,1
"16",38000228,1,556.171,0,0,1350,0,0.9766,0.3037,0.2229,12.6168,1.4974,2.75,1,0,1,1,1
"17",38003836,1,493.696,0,0,1350,0,0.9766,0.3037,0.2229,12.6168,0.3769,3,1,0,1,1,1
"18",38005317,1,530.247,0,0,1350,0,0.9766,0.3037,0.2229,12.6168,1.5413,2.75,1,0,1,1,1
"19",38003086,1,602.181,0,0,1350,0,0.9766,0.3037,0.2229,12.6168,1.1968,1.83333333333333,0,0,1,1,1
"20",38009280,1,578.731,0,0,1350,0,0.9766,0.3037,0.2229,12.6168,1.2394,2.75,1,0,1,1,1
"21",38011444,1,445.402,0,0,1350,0,0.9766,0.3037,0.2229,12.6168,1.1294,2.75,0,0,1,1,1
"22",38009140,1,508.863,0,0,1350,0,0.9766,0.3037,0.2229,12.6168,0.5063,2.75,0,1,0,1,1
"23",38001338,1,459.27,0,0,1350,0,0.9766,0.3037,0.2229,12.6168,0.1462,2.75,0,0,1,1,0
"24",38018365,1,445.953,0,0,1350,0,0.9766,0.3037,0.2229,12.6168,-0.0645,3.25,0,1,0,1,1
"25",38006732,1,579.228,0,0,1350,0,0.9766,0.3037,0.2229,12.6168,0.3537,2.75,1,0,1,1,1
"26",38019814,1,616.976,0,0,1350,0,0.9766,0.3037,0.2229,12.6168,1.4833,2.75,0,0,1,1,1
"27",38018709,1,620.409,0,0,1350,0,0.9766,0.3037,0.2229,12.6168,0.4177,3,1,0,1,1,1
"28",38000522,1,577.433,0,0,1350,0,0.9766,0.3037,0.2229,12.6168,1.506,5,1,0,1,1,1
"50",38008535,2,354.965,0,0,569,0,0.5753,0.1575,-0.8695,7.7945,0.0552,5,0,1,0,1,1
"51",38002533,2,490.58,0,0,569,0,0.5753,0.1575,-0.8695,7.7945,-0.9816,4.16666666666667,1,1,0,1,1
"52",38017963,2,529.289,0,0,569,0,0.5753,0.1575,-0.8695,7.7945,-0.9054,6,1,1,0,1,1
"53",38016050,2,570.78,0,0,569,0,0.5753,0.1575,-0.8695,7.7945,-0.7012,4.58333333333333,0,1,0,1,1
"54",38018269,2,640.023,0,0,569,0,0.5753,0.1575,-0.8695,7.7945,-0.5246,4.58333333333333,0,1,0,1,1
"55",38003413,2,544.418,0,0,569,0,0.5753,0.1575,-0.8695,7.7945,0.3107,4.58333333333333,0,1,0,1,1
"56",38005399,2,575.152,0,0,569,0,0.5753,0.1575,-0.8695,7.7945,1.7393,4.16666666666667,0,0,1,1,1
"57",38003734,2,729.008,0,0,569,0,0.5753,0.1575,-0.8695,7.7945,0.3468,3.66666666666667,0,1,0,1,1
"58",38006527,2,522.502,0,0,569,0,0.5753,0.1575,-0.8695,7.7945,1.0765,4,0,0,1,1,1
"59",38001441,2,529.352,0,0,569,0,0.5753,0.1575,-0.8695,7.7945,0.9118,4.58333333333333,0,0,1,1,1
"60",38001752,2,551.149,0,0,569,0,0.5753,0.1575,-0.8695,7.7945,1.5231,5.5,1,0,1,1,1
"61",38013731,2,668.84,0,0,569,0,0.5753,0.1575,-0.8695,7.7945,-0.1932,4.58333333333333,1,1,0,1,1
"62",38018279,2,604.999,0,0,569,0,0.5753,0.1575,-0.8695,7.7945,0.8851,5,1,0,1,1,1
"63",38018087,2,543.025,0,0,569,0,0.5753,0.1575,-0.8695,7.7945,-1.4896,4.58333333333333,1,0,0,1,1
"64",38014169,2,674.696,0,0,569,0,0.5753,0.1575,-0.8695,7.7945,0.383,1.83333333333333,1,1,0,1,1
"65",38002487,2,629.16,0,0,569,0,0.5753,0.1575,-0.8695,7.7945,-0.005,5,1,0,1,1,1
"66",38005771,2,593.825,0,0,569,0,0.5753,0.1575,-0.8695,7.7945,1.0572,4.58333333333333,1,0,1,1,1
"68",38017499,3,527.245,0,0,1128,0,1,0.3471,0.1162,13.2706,0.6345,5,0,0,1,1,1
